русское название,оригинальное название,адрес,сайт
Дифенбункер,Diefenbunker,,http://www.diefenbunker.ca
Дом-музей Лорье,Laurier House National Historic Site,,https://web.archive.org/web/20070518141713/http://www.pc.gc.ca/lhn-nhs/on/laurier/index_e.asp
Канадский военный музей,Canadian War Museum,,http://www.warmuseum.ca
Королевский канадский монетный двор (Оттава),Canadian Royal Mint,,http://www.mint.ca
Канадский музей цивилизации в Гатино (включает Канадский музей почты и Детский музей),Canadian Museum of Civilization / Musée canadien des civilisations,,http://www.civilization.ca/
Канадский музей сельского хозяйства(в составе Центральной экспериментальной фермы),Canada Agriculture Museum,,https://web.archive.org/web/20080202085858/http://www.agriculture.technomuses.ca/
Канадский музей авиации и космоса (Оттава),Canada Aviation and Space Museum/Musée de l’aviation et de l'Espace du Canada,,http://www.aviation.technomuses.ca
Канадский музей лыжного спорта,Canadian Ski Museum/Musée canadien du ski,,http://www.skimuseum.ca
Канадский музей науки и техники,Canada Science and Technology Museum,,http://www.sciencetech.technomuses.ca
Канадский музей природы,Canadian Museum of Nature,,http://www.nature.ca
Мельница Уотсона,Watson's Mill,,http://www.watsonsmill.com
Музей Байтауна,Bytown Museum,,http://bytownmuseum.com
Музей банка Канады (бывший Музей валюты),The Bank of Canada Museum,,http://www.currencymuseum.ca
Музей-парк Ванье,Museopark Vanier,,http://www.museoparc.ca
Национальная галерея Канады,National Gallery of Canada,,http://www.gallery.ca
Пинхис-Пойнт в Хорэсвилле,Pinhey's Point Historic Site,,http://www.pinheyspoint.ca
Ридо-холл (резиденция генерал-губернатора,Rideau Hall,,http://www.gg.ca/document.aspx?id=94
Старинные крылья Канады,Vintage Wings of Canada,,http://www.vintagewings.ca
Таверна Симмса (Элмер),Symmes Inn,,http://outaouais.quebecheritageweb.com/organization/symmes-inn-museum
Музей пионеров,,Сент-Андре-Авелен,http://
Непинский музей,Nepean Museum,,http://www.nepeanmuseum.ca/
Канадский музей скаутов,Canadian Scouting Museum,,https://web.archive.org/web/20110928155624/http://www.1stmerrickville.ca/museum/
Музей Голборна,Goulborn Museum,,http://goulbournmuseum.ca
Музей Осгуда,Osgoode Museum,,http://www.osgoodemuseum.ca
