год,фильм,оригинальное название,роль
1964,Вечер трудного дня,A Hard Day’s Night,Джон
1965,На помощь!,Help!,Джон Леннон
1967,Как я выиграл войну,How I Won the War,Стрелок Грипвид
1967,Волшебное таинственное путешествие,Magical Mystery Tour,Джон/Рассказчик/Продавец билетов/Волшебник с кофе/Прилизанный официант
1968,Жёлтая подводная лодка,Yellow Submarine,Джон
1968,Два девственника,Two Virgins,
1970,Пусть будет так,Let It Be,Джон Леннон
1970,Апофеоз,Apotheosis,
1971,Цыплёнок-динамит,Dynamite Chicken,Джон Леннон
1977,Огонь в воде,Fire in the Water,
